,,,,
Saldos de productos,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,
811003961-9,,,,
"Miércoles, 31 de Diciembre de 2025 ",,,,
,,,,
,,,,
Código producto,Nombre producto,Referencia de fábrica,Saldo cantidades,
Producto: 101002 - R002,,,472.51,
Bodega: 5 - BODEGA 5,,,472.51,
101002,R002,,472.51,
Producto: 101003 - R003,,,"4,610.00",
Bodega: 6 - COLSABOR UNICA,,,"4,610.00",
101003,R003,,"4,610.00",
Producto: 101003A - R003 AL 10 %,,,0.24,
Bodega: 6 - COLSABOR UNICA,,,0.24,
101003A,R003 AL 10 %,,0.24,
Producto: 101004 - R004,,,600.00,
Bodega: 6 - COLSABOR UNICA,,,600.00,
101004,R004,,600.00,
Producto: 101005 - R005 AL 10%,,,923.00,
Bodega: 6 - COLSABOR UNICA,,,923.00,
101005,R005 AL 10%,,923.00,
Producto: 101005P - R005 PURO,,,20.00,
Bodega: 6 - COLSABOR UNICA,,,20.00,
101005P,R005 PURO,,20.00,
Producto: 101006 - R006 PURO,,,0.14,
Bodega: 6 - COLSABOR UNICA,,,0.14,
101006,R006 PURO,,0.14,
Producto: 101007 - R007,,,80.85,
Bodega: 5 - BODEGA 5,,,80.85,
101007,R007,,80.85,
Producto: 101008 - R008,,,979.05,
Bodega: 6 - COLSABOR UNICA,,,979.05,
101008,R008,,979.05,
Producto: 101009 - R009,,,"529,568.95",
Bodega: 6 - COLSABOR UNICA,,,"529,568.95",
101009,R009,,"529,568.95",
Producto: 101012 - R012,,,524.00,
Bodega: 6 - COLSABOR UNICA,,,524.00,
101012,R012,,524.00,
Producto: 101015 - R015,,,"2,730.00",
Bodega: 6 - COLSABOR UNICA,,,"2,730.00",
101015,R015,,"2,730.00",
Producto: 101016 - R016,,,614.00,
Bodega: 6 - COLSABOR UNICA,,,614.00,
101016,R016,,614.00,
Producto: 101018 - R018,,,"3,190.00",
Bodega: 6 - COLSABOR UNICA,,,"3,190.00",
101018,R018,,"3,190.00",
Producto: 101020 - R020,,,"1,000.02",
Bodega: 6 - COLSABOR UNICA,,,"1,000.02",
101020,R020,,"1,000.02",
Producto: 101021 - R021,,,"6,616.00",
Bodega: 6 - COLSABOR UNICA,,,"6,616.00",
101021,R021,,"6,616.00",
Producto: 101022 - R022,,,"1,556.00",
Bodega: 5 - BODEGA 5,,,20.00,
101022,R022,,20.00,
Bodega: 6 - COLSABOR UNICA,,,"1,536.00",
101022,R022,,"1,536.00",
Producto: 101024 - R024,,,"15,650.00",
Bodega: 6 - COLSABOR UNICA,,,"15,650.00",
101024,R024,,"15,650.00",
Producto: 101025 - R025,,,"1,585.89",
Bodega: 6 - COLSABOR UNICA,,,"1,585.89",
101025,R025,,"1,585.89",
Producto: 101026 - R026,,,"1,680.00",
Bodega: 6 - COLSABOR UNICA,,,"1,680.00",
101026,R026,,"1,680.00",
Producto: 101027 - R027,,,527.85,
Bodega: 5 - BODEGA 5,,,527.85,
101027,R027,,527.85,
Producto: 101029 - R029,,,"2,610.00",
Bodega: 6 - COLSABOR UNICA,,,"2,610.00",
101029,R029,,"2,610.00",
Producto: 101030 - R030,,,"2,213.03",
Bodega: 6 - COLSABOR UNICA,,,"2,213.03",
101030,R030,,"2,213.03",
Producto: 101031 - R031,,,922.00,
Bodega: 5 - BODEGA 5,,,38.00,
101031,R031,,38.00,
Bodega: 6 - COLSABOR UNICA,,,884.00,
101031,R031,,884.00,
Producto: 101032 - R032 AL 10%,,,"2,165.00",
Bodega: 6 - COLSABOR UNICA,,,"2,165.00",
101032,R032 AL 10%,,"2,165.00",
Producto: 101032P - R032 PURO,,,"9,700.00",
Bodega: 6 - COLSABOR UNICA,,,"9,700.00",
101032P,R032 PURO,,"9,700.00",
Producto: 101033 - R033,,,979.47,
Bodega: 6 - COLSABOR UNICA,,,979.47,
101033,R033,,979.47,
Producto: 101034 - R034,,,108.00,
Bodega: 6 - COLSABOR UNICA,,,108.00,
101034,R034,,108.00,
Producto: 101036 - R036,,,598.00,
Bodega: 5 - BODEGA 5,,,598.00,
101036,R036,,598.00,
Producto: 101037 - R037,,,70.33,
Bodega: 5 - BODEGA 5,,,70.33,
101037,R037,,70.33,
Producto: 101038 - R038,,,175.00,
Bodega: 5 - BODEGA 5,,,175.00,
101038,R038,,175.00,
Producto: 101039 - R039,,,"17,972.42",
Bodega: 6 - COLSABOR UNICA,,,"17,972.42",
101039,R039,,"17,972.42",
Producto: 101041 - R041,,,412.00,
Bodega: 5 - BODEGA 5,,,412.00,
101041,R041,,412.00,
Producto: 101042 - R042,,,"1,270.00",
Bodega: 6 - COLSABOR UNICA,,,"1,270.00",
101042,R042,,"1,270.00",
Producto: 101043 - R043,,,585.00,
Bodega: 6 - COLSABOR UNICA,,,585.00,
101043,R043,,585.00,
Producto: 101044 - R044,,,"1,362.00",
Bodega: 6 - COLSABOR UNICA,,,"1,362.00",
101044,R044,,"1,362.00",
Producto: 101045 - R045,,,585.00,
Bodega: 6 - COLSABOR UNICA,,,585.00,
101045,R045,,585.00,
Producto: 101046 - R046,,,"10,000.00",
Bodega: 6 - COLSABOR UNICA,,,"10,000.00",
101046,R046,,"10,000.00",
Producto: 101048 - R048,,,"1,160.00",
Bodega: 6 - COLSABOR UNICA,,,"1,160.00",
101048,R048,,"1,160.00",
Producto: 101049 - R049,,,679.52,
Bodega: 6 - COLSABOR UNICA,,,679.52,
101049,R049,,679.52,
Producto: 101050 - R050,,,171.34,
Bodega: 5 - BODEGA 5,,,187.54,
101050,R050,,187.54,
Bodega: 6 - COLSABOR UNICA,,,-16.20,
101050,R050,,-16.20,
Producto: 101051 - R051,,,"1,005.86",
Bodega: 6 - COLSABOR UNICA,,,"1,005.86",
101051,R051,,"1,005.86",
Producto: 101053 - R053,,,788.00,
Bodega: 6 - COLSABOR UNICA,,,788.00,
101053,R053,,788.00,
Producto: 101054 - R054,,,"148,100.00",
Bodega: 6 - COLSABOR UNICA,,,"148,100.00",
101054,R054,,"148,100.00",
Producto: 101055 - R055 AL 10%,,,"7,263.60",
Bodega: 5 - BODEGA 5,,,"7,263.60",
101055,R055 AL 10%,,"7,263.60",
Producto: 101056 - R056,,,490.00,
Bodega: 5 - BODEGA 5,,,490.00,
101056,R056,,490.00,
Producto: 101057 - R057,,,622.00,
Bodega: 6 - COLSABOR UNICA,,,622.00,
101057,R057,,622.00,
Producto: 101058 - R058,,,"8,183.00",
Bodega: 6 - COLSABOR UNICA,,,"8,183.00",
101058,R058,,"8,183.00",
Producto: 101059 - R059,,,"1,105.00",
Bodega: 6 - COLSABOR UNICA,,,"1,105.00",
101059,R059,,"1,105.00",
Producto: 101060 - R060,,,"200,822.24",
Bodega: 6 - COLSABOR UNICA,,,"200,822.24",
101060,R060,,"200,822.24",
Producto: 101061 - R061,,,852.00,
Bodega: 6 - COLSABOR UNICA,,,852.00,
101061,R061,,852.00,
Producto: 101062 - R062 AL 20%,,,156.00,
Bodega: 6 - COLSABOR UNICA,,,156.00,
101062,R062 AL 20%,,156.00,
Producto: 101062P - R062 PURO,,,237.00,
Bodega: 6 - COLSABOR UNICA,,,237.00,
101062P,R062 PURO,,237.00,
Producto: 101063 - R063,,,579.00,
Bodega: 6 - COLSABOR UNICA,,,579.00,
101063,R063,,579.00,
Producto: 101064 - R064,,,319.00,
