,,,,,,,,,,,
Ventas por producto,,,,,,,,,,,
COLOMBIANA DE SABORES S.A.S. COLSABOR S.A.S.,,,,,,,,,,,
811003961-9,,,,,,,,,,,
De Enero 01 2025 a Diciembre 31 2025 ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Código producto,Nombre producto,Referencia fábrica,Grupo inventario,Cantidad vendida,Valor bruto,Descuento,Subtotal,Impuesto cargo,Impuesto retención,Total,
101009,R009,,MATERIAS PRIMAS,"8,000.00","47,200.00",0.00,"47,200.00","8,968.00",0.00,"56,168.00",
101039,R039,,MATERIAS PRIMAS,"67,000.00","6,207,000.00",0.00,"6,207,000.00","1,179,330.00",0.00,"7,386,330.00",
101060,R060,,MATERIAS PRIMAS,"20,000.00","400,000.00",0.00,"400,000.00","76,000.00",0.00,"476,000.00",
101067,R067,,MATERIAS PRIMAS,"3,000.00","807,000.00",0.00,"807,000.00","153,330.00",0.00,"960,330.00",
101075,R075,,MATERIAS PRIMAS,"1,000.00","133,200.00",0.00,"133,200.00","25,308.00",0.00,"158,508.00",
101078,R078,,MATERIAS PRIMAS,"2,000.00","64,000.00",0.00,"64,000.00","12,160.00",0.00,"76,160.00",
101089,R089,,MATERIAS PRIMAS,"1,774,000.00","19,233,800.00",0.00,"19,233,800.00","3,654,422.00",0.00,"22,888,222.00",
101120,R120,,MATERIAS PRIMAS,"1,000.00","152,000.00",0.00,"152,000.00","28,880.00",0.00,"180,880.00",
101125,R125,,MATERIAS PRIMAS,"2,000.00","369,400.00",0.00,"369,400.00","70,186.00",0.00,"439,586.00",
101148,R148,,MATERIAS PRIMAS,"10,000.00","960,000.00",0.00,"960,000.00","182,400.00",0.00,"1,142,400.00",
101160,R160,,MATERIAS PRIMAS,"51,000.00","7,542,900.00",0.00,"7,542,900.00","1,433,151.00",0.00,"8,976,051.00",
101164,R164,,MATERIAS PRIMAS,"11,000.30","897,306.00",0.00,"897,306.00","170,488.14",0.00,"1,067,794.14",
101182,R182,,MATERIAS PRIMAS,"13,500.00","2,181,800.00",0.00,"2,181,800.00","414,542.00",0.00,"2,596,342.00",
101190,R190,,MATERIAS PRIMAS,"159,004.00","1,621,400.00",0.00,"1,621,400.00","308,066.00",0.00,"1,929,466.00",
101220,R220,,MATERIAS PRIMAS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
101243,R243,,MATERIAS PRIMAS,"1,000.00","63,000.00",0.00,"63,000.00","11,970.00",0.00,"74,970.00",
101249,R249,,MATERIAS PRIMAS,"141,000.00","1,196,900.00",0.00,"1,196,900.00","227,411.00",0.00,"1,424,311.00",
101255,R255,,MATERIAS PRIMAS,"575,000.00","39,675,000.00","776,250.00","38,898,750.00","7,390,762.50",0.00,"46,289,512.50",
101259,R259,,MATERIAS PRIMAS,"288,000.00","22,428,300.00",0.00,"22,428,300.00","4,261,377.00",0.00,"26,689,677.00",
10322,CARNE EN POLVO,,MATERIAS PRIMAS,"10,400.00","1,970,550.00",0.00,"1,970,550.00","374,404.50",0.00,"2,344,954.50",
10402,AZUL BTE.,,MATERIAS PRIMAS,"7,000.03","652,560.00",0.00,"652,560.00","123,986.40",0.00,"776,546.40",
10403,CARMOISINA,,MATERIAS PRIMAS,"22,000.00","1,977,800.00",0.00,"1,977,800.00","375,782.00",0.00,"2,353,582.00",
10405,ERYTROSINA,,MATERIAS PRIMAS,"4,000.00","3,321,700.00",0.00,"3,321,700.00","631,123.00",0.00,"3,952,823.00",
10406,ROJO PUNZO,,MATERIAS PRIMAS,"147,001.00","9,612,874.20",0.00,"9,612,874.20","1,826,446.10",0.00,"11,439,320.30",
